id,text
1,I love how easy this product is to use. Case 1.
2,The app crashed before I could finish my work. Case 2.
3,The order was delivered yesterday afternoon. Case 3.
4,The support team answered quickly and fixed my issue. Case 4.
5,Customer support did not respond to my complaint. Case 5.
6,The account was created using an email address. Case 6.
7,The dashboard feels fast, polished, and reliable. Case 7.
8,The product stopped working after one day. Case 8.
9,The user opened the settings page at noon. Case 9.
10,This feature saves me time every single day. Case 10.
11,The checkout process was confusing and slow. Case 11.
12,The file contains three columns and one header row. Case 12.
13,The package arrived early and everything worked perfectly. Case 13.
14,The delivery was late and the box was damaged. Case 14.
15,The meeting is scheduled for Friday morning. Case 15.
16,I would happily recommend this service to my team. Case 16.
17,I am disappointed with the poor battery life. Case 17.
18,The device is available in black and silver. Case 18.
19,The latest update made the workflow much smoother. Case 19.
20,The report exported with missing information. Case 20.
21,The invoice was generated after the purchase. Case 21.
22,The instructions were clear and the result was excellent. Case 22.
23,The interface froze several times during review. Case 23.
24,The dataset includes product and support messages. Case 24.
25,I love how easy this product is to use. Case 25.
26,The app crashed before I could finish my work. Case 26.
27,The order was delivered yesterday afternoon. Case 27.
28,The support team answered quickly and fixed my issue. Case 28.
29,Customer support did not respond to my complaint. Case 29.
30,The account was created using an email address. Case 30.
31,The dashboard feels fast, polished, and reliable. Case 31.
32,The product stopped working after one day. Case 32.
33,The user opened the settings page at noon. Case 33.
34,This feature saves me time every single day. Case 34.
35,The checkout process was confusing and slow. Case 35.
36,The file contains three columns and one header row. Case 36.
37,The package arrived early and everything worked perfectly. Case 37.
38,The delivery was late and the box was damaged. Case 38.
39,The meeting is scheduled for Friday morning. Case 39.
40,I would happily recommend this service to my team. Case 40.
41,I am disappointed with the poor battery life. Case 41.
42,The device is available in black and silver. Case 42.
43,The latest update made the workflow much smoother. Case 43.
44,The report exported with missing information. Case 44.
45,The invoice was generated after the purchase. Case 45.
46,The instructions were clear and the result was excellent. Case 46.
47,The interface froze several times during review. Case 47.
48,The dataset includes product and support messages. Case 48.
49,I love how easy this product is to use. Case 49.
50,The app crashed before I could finish my work. Case 50.
51,The order was delivered yesterday afternoon. Case 51.
52,The support team answered quickly and fixed my issue. Case 52.
53,Customer support did not respond to my complaint. Case 53.
54,The account was created using an email address. Case 54.
55,The dashboard feels fast, polished, and reliable. Case 55.
56,The product stopped working after one day. Case 56.
57,The user opened the settings page at noon. Case 57.
58,This feature saves me time every single day. Case 58.
59,The checkout process was confusing and slow. Case 59.
60,The file contains three columns and one header row. Case 60.
61,The package arrived early and everything worked perfectly. Case 61.
62,The delivery was late and the box was damaged. Case 62.
63,The meeting is scheduled for Friday morning. Case 63.
64,I would happily recommend this service to my team. Case 64.
65,I am disappointed with the poor battery life. Case 65.
66,The device is available in black and silver. Case 66.
67,The latest update made the workflow much smoother. Case 67.
68,The report exported with missing information. Case 68.
69,The invoice was generated after the purchase. Case 69.
