id,text,label
1,I love how easy this product is to use. Case 1.,Positive
2,The app crashed before I could finish my work. Case 2.,Negative
3,The order was delivered yesterday afternoon. Case 3.,Neutral
4,The support team answered quickly and fixed my issue. Case 4.,Positive
5,Customer support did not respond to my complaint. Case 5.,Negative
6,The account was created using an email address. Case 6.,Neutral
7,The dashboard feels fast, polished, and reliable. Case 7.,Positive
8,The product stopped working after one day. Case 8.,Negative
9,The user opened the settings page at noon. Case 9.,Neutral
10,This feature saves me time every single day. Case 10.,Positive
11,The checkout process was confusing and slow. Case 11.,Negative
12,The file contains three columns and one header row. Case 12.,Neutral
13,The package arrived early and everything worked perfectly. Case 13.,Positive
14,The delivery was late and the box was damaged. Case 14.,Negative
15,The meeting is scheduled for Friday morning. Case 15.,Neutral
16,I would happily recommend this service to my team. Case 16.,Positive
17,I am disappointed with the poor battery life. Case 17.,Negative
18,The device is available in black and silver. Case 18.,Neutral
19,The latest update made the workflow much smoother. Case 19.,Positive
20,The report exported with missing information. Case 20.,Negative
21,The invoice was generated after the purchase. Case 21.,Neutral
22,The instructions were clear and the result was excellent. Case 22.,Positive
23,The interface froze several times during review. Case 23.,Negative
24,The dataset includes product and support messages. Case 24.,Neutral
25,I love how easy this product is to use. Case 25.,Positive
26,The app crashed before I could finish my work. Case 26.,Negative
27,The order was delivered yesterday afternoon. Case 27.,Neutral
28,The support team answered quickly and fixed my issue. Case 28.,Positive
29,Customer support did not respond to my complaint. Case 29.,Negative
30,The account was created using an email address. Case 30.,Neutral
31,The dashboard feels fast, polished, and reliable. Case 31.,Positive
32,The product stopped working after one day. Case 32.,Negative
33,The user opened the settings page at noon. Case 33.,Neutral
34,This feature saves me time every single day. Case 34.,Positive
35,The checkout process was confusing and slow. Case 35.,Negative
36,The file contains three columns and one header row. Case 36.,Neutral
37,The package arrived early and everything worked perfectly. Case 37.,Positive
38,The delivery was late and the box was damaged. Case 38.,Negative
39,The meeting is scheduled for Friday morning. Case 39.,Neutral
40,I would happily recommend this service to my team. Case 40.,Positive
41,I am disappointed with the poor battery life. Case 41.,Negative
42,The device is available in black and silver. Case 42.,Neutral
43,The latest update made the workflow much smoother. Case 43.,Positive
44,The report exported with missing information. Case 44.,Negative
45,The invoice was generated after the purchase. Case 45.,Neutral
46,The instructions were clear and the result was excellent. Case 46.,Positive
47,The interface froze several times during review. Case 47.,Negative
48,The dataset includes product and support messages. Case 48.,Neutral
49,I love how easy this product is to use. Case 49.,Positive
50,The app crashed before I could finish my work. Case 50.,Negative
51,The order was delivered yesterday afternoon. Case 51.,Neutral
52,The support team answered quickly and fixed my issue. Case 52.,Positive
53,Customer support did not respond to my complaint. Case 53.,Negative
54,The account was created using an email address. Case 54.,Neutral
55,The dashboard feels fast, polished, and reliable. Case 55.,Positive
56,The product stopped working after one day. Case 56.,Negative
57,The user opened the settings page at noon. Case 57.,Neutral
58,This feature saves me time every single day. Case 58.,Positive
59,The checkout process was confusing and slow. Case 59.,Negative
60,The file contains three columns and one header row. Case 60.,Neutral
61,The package arrived early and everything worked perfectly. Case 61.,Positive
62,The delivery was late and the box was damaged. Case 62.,Negative
